iter	RMSE
0	0.4040828456
1	0.401568611
2	0.3989639602
3	0.3964531304
4	0.3939818671
5	0.3914522284
6	0.3889302006
7	0.3865644189
8	0.3841469892
9	0.3817246116
10	0.3792252789
11	0.3768230749
12	0.3743471126
13	0.372131154
14	0.3697580479
15	0.3675455013
16	0.3653391515
17	0.3630124019
18	0.3607610782
19	0.3586254538
20	0.3564644873
21	0.3542171334
22	0.3520212823
23	0.3498640628
24	0.3477400881
25	0.3457359918
26	0.3436826613
27	0.3417271113
28	0.339715419
29	0.33784244
30	0.3358518937
31	0.3339188681
32	0.3320356378
33	0.3300943244
34	0.3280662218
35	0.3264063658
36	0.3245217355
37	0.3226994603
38	0.3207626864
39	0.3189984866
40	0.3170381642
41	0.315253979
42	0.3136150309
43	0.3117643004
44	0.3099534772
45	0.3082709656
46	0.3065544148
47	0.3048433263
48	0.3032063704
49	0.301676986
50	0.3001576621
51	0.2985533549
52	0.297006447
53	0.2954976993
54	0.2939555825
55	0.2925783581
56	0.2911405772
57	0.2898381226
58	0.2882863093
59	0.2867788461
60	0.2852620053
61	0.2838826363
62	0.2823638701
63	0.2810275665
64	0.2796683326
65	0.2783749926
66	0.2769658681
67	0.2754878802
68	0.274162195
69	0.2729348296
70	0.2716831586
71	0.2702859384
72	0.2690527513
73	0.2678257941
74	0.266681529
75	0.2654293105
76	0.2641718528
77	0.2629336935
78	0.2616739107
79	0.2602575722
80	0.2591076775
81	0.257842026
82	0.2565456483
83	0.2553934711
84	0.2542089336
85	0.2529611856
86	0.2518382039
87	0.2505767759
88	0.2493408159
89	0.2481362167
90	0.2470566952
91	0.2459088602
92	0.2448470007
93	0.243763317
94	0.2426627095
95	0.2415311464
96	0.2405411847
97	0.2393811264
98	0.2382826177
99	0.2371944206
100	0.2360803684
101	0.2350254474
102	0.2339770039
103	0.2329952635
104	0.2320665432
105	0.2310956782
106	0.2301064981
107	0.2290826992
108	0.2281402497
109	0.2271976145
110	0.2262476371
111	0.2253131248
112	0.2243789808
113	0.2234531843
114	0.2225655649
