iter	Passed	Remaining
0	1	1814
1	3	1688
2	4	1657
3	6	1591
4	7	1568
5	9	1569
6	11	1573
7	12	1555
8	13	1537
9	15	1520
10	16	1523
11	18	1532
12	20	1527
13	21	1523
14	23	1516
15	24	1506
16	25	1500
17	27	1526
18	29	1529
19	31	1520
20	32	1512
21	33	1503
22	35	1513
23	37	1505
24	38	1503
25	40	1499
26	41	1490
27	42	1488
28	44	1484
29	45	1481
30	47	1480
31	48	1478
32	50	1481
33	53	1515
34	55	1522
35	57	1528
36	59	1547
37	61	1556
38	63	1562
39	65	1579
40	67	1583
41	69	1583
42	71	1593
43	73	1589
44	74	1582
45	77	1602
46	78	1599
47	80	1590
48	81	1587
49	83	1586
50	84	1580
51	86	1577
52	88	1572
53	89	1566
54	90	1559
55	92	1555
56	93	1551
57	95	1546
58	96	1541
59	98	1535
60	99	1529
61	101	1532
62	102	1527
63	104	1527
64	105	1522
65	107	1521
66	109	1519
67	110	1514
68	111	1510
69	113	1506
70	114	1502
71	116	1503
72	118	1499
73	119	1498
74	121	1496
75	122	1494
76	124	1492
77	126	1499
78	128	1500
79	130	1500
80	131	1495
81	133	1497
82	135	1493
83	136	1489
84	138	1489
85	139	1486
86	141	1484
87	143	1484
88	144	1481
89	146	1478
90	147	1475
91	149	1477
92	151	1476
93	153	1474
94	154	1471
95	156	1469
96	157	1468
97	159	1466
98	160	1464
99	162	1462
100	164	1460
101	165	1456
102	167	1456
103	168	1455
104	170	1454
105	172	1452
106	173	1451
107	175	1451
108	177	1448
109	178	1446
110	180	1443
111	181	1440
112	183	1438
113	184	1435
114	186	1432
115	187	1431
116	189	1429
117	190	1426
118	192	1424
119	193	1421
120	195	1419
121	196	1416
122	198	1415
123	200	1413
124	201	1410
125	202	1407
126	204	1405
127	206	1404
128	207	1404
129	209	1401
130	210	1399
131	212	1395
132	213	1394
133	215	1392
134	216	1389
135	218	1387
136	219	1384
137	221	1382
138	223	1381
139	224	1380
140	226	1378
141	227	1375
142	229	1373
143	230	1371
144	232	1369
145	234	1370
146	235	1368
147	237	1366
148	238	1364
149	240	1363
150	242	1361
151	243	1359
152	245	1357
153	246	1355
154	248	1354
155	249	1351
156	251	1350
157	253	1348
158	254	1346
159	255	1343
160	257	1341
161	258	1339
162	260	1336
163	261	1333
164	263	1331
165	264	1330
166	266	1329
167	267	1327
168	269	1324
169	270	1322
170	272	1319
171	273	1318
172	275	1316
173	276	1313
174	278	1311
175	279	1309
176	281	1307
177	282	1305
178	284	1303
179	285	1300
180	286	1298
181	288	1297
182	290	1296
183	291	1294
184	293	1292
185	294	1289
186	296	1287
187	297	1286
188	299	1284
189	300	1282
190	302	1280
191	303	1277
192	305	1275
193	306	1274
194	308	1273
195	309	1270
196	311	1268
197	312	1266
198	314	1264
199	315	1262
200	317	1260
201	318	1258
202	319	1256
203	321	1254
204	323	1253
205	324	1251
206	326	1249
207	327	1246
208	329	1246
209	331	1245
210	332	1243
211	334	1241
212	335	1240
213	337	1238
214	338	1236
215	340	1235
216	341	1233
217	343	1231
218	344	1230
219	346	1228
220	348	1226
221	349	1225
222	351	1223
223	352	1221
224	354	1219
225	355	1219
226	357	1217
227	358	1214
228	360	1213
229	361	1211
230	363	1209
231	365	1209
232	368	1211
233	370	1213
234	372	1212
235	374	1211
236	375	1208
237	376	1206
238	378	1204
239	379	1202
240	381	1200
241	382	1198
242	384	1196
243	385	1194
244	386	1192
245	388	1190
246	389	1188
247	391	1186
248	392	1184
249	394	1182
250	395	1180
251	397	1178
252	398	1176
253	400	1175
254	401	1173
255	402	1171
256	404	1170
257	406	1168
258	408	1167
259	409	1165
260	410	1163
261	412	1161
262	413	1159
263	415	1157
264	416	1156
265	418	1154
266	419	1152
267	421	1150
268	422	1148
269	424	1146
270	425	1144
271	426	1142
272	428	1141
273	430	1139
274	431	1137
275	433	1135
276	434	1134
277	436	1132
278	437	1131
279	439	1129
280	440	1127
281	441	1125
282	443	1123
283	444	1121
284	446	1120
285	447	1118
286	449	1116
287	451	1115
288	452	1113
289	454	1113
290	456	1111
291	457	1109
292	459	1108
293	460	1106
294	462	1105
295	463	1103
296	465	1101
297	466	1099
298	468	1097
299	470	1097
300	472	1096
301	473	1094
302	474	1092
303	476	1090
304	477	1088
305	479	1086
306	480	1084
307	481	1082
308	483	1080
309	484	1078
310	486	1076
311	487	1075
312	489	1073
313	490	1071
314	491	1069
315	493	1068
316	495	1066
317	496	1065
318	498	1063
319	499	1061
320	501	1059
321	502	1058
322	504	1058
323	506	1056
324	507	1054
325	509	1052
326	510	1051
327	512	1049
328	513	1047
329	515	1046
330	516	1044
331	518	1043
332	520	1042
333	521	1040
334	523	1038
335	524	1037
336	526	1035
337	527	1033
338	529	1032
339	530	1030
340	532	1028
341	533	1027
342	535	1025
343	537	1024
344	538	1022
345	540	1020
346	541	1018
347	542	1017
348	544	1015
349	545	1013
350	547	1012
351	548	1010
352	550	1008
353	551	1006
354	553	1005
355	554	1003
356	556	1001
357	557	999
358	558	997
359	560	996
360	562	995
361	564	994
362	565	992
363	567	990
364	568	989
365	570	987
366	571	985
367	573	984
368	574	982
369	575	980
370	578	980
371	579	978
372	580	976
373	582	974
374	584	974
375	585	972
376	587	970
377	588	968
378	590	967
379	591	965
380	593	964
381	595	962
382	596	961
383	598	959
384	599	957
385	600	955
386	602	954
387	603	952
388	605	950
389	606	949
390	608	947
391	610	946
392	611	945
393	613	944
394	615	942
395	617	941
396	618	939
397	619	937
398	621	936
399	622	934
400	624	932
401	625	931
402	627	929
403	629	928
404	630	926
405	631	924
406	633	923
407	635	921
408	636	920
409	638	918
410	639	916
411	641	914
412	643	913
413	644	912
414	646	911
415	648	909
416	649	908
417	651	907
418	653	906
419	654	904
420	656	902
421	657	900
422	660	900
423	661	898
424	663	897
425	664	895
426	666	893
427	667	892
428	669	890
429	670	888
430	672	888
431	674	886
432	675	885
433	677	883
434	678	881
435	680	879
436	681	878
437	682	876
438	684	874
439	685	872
440	687	871
441	689	869
442	690	868
443	692	866
444	693	865
445	694	863
446	696	861
447	697	859
448	699	858
449	701	856
450	702	855
451	703	853
452	705	851
453	706	850
454	708	848
455	709	846
456	711	844
457	713	844
458	714	842
459	716	841
460	718	839
461	719	838
462	721	836
463	722	834
464	724	833
465	725	831
466	727	830
467	728	828
468	730	826
469	731	825
470	733	823
471	734	821
472	736	820
